Language,Ground Truth,Predicted,CER,WER,MER,Confidence,Status
bhojpuri.txt,चिरई बिहान में मीठ आवाज करेले।,चिरई बिहान में मीठ आवाज करेले।,0.0,0.0,0.0,0.9118,CORRECT
bhojpuri.txt,समय के सही उपयोग करे के चाहीं।,समय के सही उपयोग करे के चाहीं।,0.0,0.0,0.0,0.9983,CORRECT
bhojpuri.txt,सुरज पूरुब दिशा से निकलऽता।,सुरज पूरुब दिशा से निकलऽता।,0.0,0.0,0.0,0.965,CORRECT
bhojpuri.txt,गुरुजी नया पाठ पढ़वले।,गुरुजी नया पाठ पढ़वले।,0.0,0.0,0.0,0.9788,CORRECT
bhojpuri.txt,हमरा आम खाए बहुत पसंद बा।,हमरा आम खाए बहुत पसंद बा।,0.0,0.0,0.0,0.9391,CORRECT
bhojpuri.txt,ऊ अपना दादा जी संगे बजार गइल रहे।,ऊ अपना दादा जी संगे बजार गइल रहे।,0.0,0.0,0.0,0.996,CORRECT
bhojpuri.txt,बरखा से सड़क पर पानी भर गइल।,बरखा से सड़क पर पानी भर गइल।,0.0,0.0,0.0,0.9854,CORRECT
bhojpuri.txt,सभे बच्चा मिलके इसकूल साफ कइलस।,सभे बच्चा मिलके इसकूल साफ कइलस।,0.0,0.0,0.0,0.8919,CORRECT
bhojpuri.txt,पर्यावरण बचावे खातिर पेड़ लगावे के चाहीं।,पर्यावरण बचावे खातिर पेड़ लगावे के चाहीं।,0.0,0.0,0.0,0.9984,CORRECT
bhojpuri.txt,हमार बहिन रोज गाना के अभ्यास करेले।,हमार बहिन रोज गाना के अभ्यास करेले।,0.0,0.0,0.0,0.9959,CORRECT
bhojpuri.txt,काल्ह रात बहुत तारा देखात रहे।,काल्ह रात बहुत तारा देखात रहे।,0.0,0.0,0.0,0.9918,CORRECT
bhojpuri.txt,पुलिस चोर के पकड़ लिहलस।,पुलिस चोर के पकड़ लिहलस।,0.0,0.0,0.0,0.9934,CORRECT
bhojpuri.txt,किताब पढ़ला से ज्ञान बढ़ेला।,किताब पढ़ला से ज्ञान बढ़ेला।,0.0,0.0,0.0,0.9964,CORRECT
bhojpuri.txt,बूढ़ आदमी धीरे-धीरे सड़क पार करत रहे।,बूढ़ आदमी धीरे-धीरे सड़क पार करत रहे।,0.0,0.0,0.0,0.9856,CORRECT
bhojpuri.txt,मोहन अपना दोस्त के उपहार दिहलस।,मोहन अपना दोस्त के उपहार दिहलस।,0.0,0.0,0.0,0.9981,CORRECT
bhojpuri.txt,दोसरा लोग के मदद करे के चाहीं।,दोसरा लोग के मदद करे के चाहीं।,0.0,0.0,0.0,0.9576,CORRECT
bhojpuri.txt,इसकूल में विज्ञान प्रदर्शनी लागल रहे।,इसकूल में विज्ञान प्रदर्शनी लागल रहे।,0.0,0.0,0.0,0.8616,CORRECT
bhojpuri.txt,लइका लोग मैदान में क्रिकेट खेलत रहे।,लइका लोग मैदान में क्रिकेट खेलत रहे।,0.0,0.0,0.0,0.978,CORRECT
bhojpuri.txt,ऊ परीक्षा में पहिला नंबर पवलस।,ऊ परीक्षा में पहिला नंबर पवलस।,0.0,0.0,0.0,0.9291,CORRECT
bhojpuri.txt,माई स्वादिष्ट खाना बनवली।,माई स्वादिष्ट खाना बनवली।,0.0,0.0,0.0,0.7972,CORRECT
bhojpuri.txt,यात्री लोग बस के इंतजार करत रहे।,यात्री लोग बस के इंतजार करत रहे।,0.0,0.0,0.0,0.9997,CORRECT
bhojpuri.txt,जंगल में कई तरह के जानवर रहेला।,जंगल में कई तरह के जानवर रहेला।,0.0,0.0,0.0,0.8859,CORRECT
bhojpuri.txt,पानी बचावे के चाहीं।,पानी बचावे के चाहीं।,0.0,0.0,0.0,0.9952,CORRECT
bhojpuri.txt,सिपाही सीमा पर ड्यूटी करत बाड़ें।,सिपाही सीमा पर ड्यूटी करत बाड़ें।,0.0,0.0,0.0,0.9994,CORRECT
bhojpuri.txt,हमरा भोजपुरी बोले में गर्व होला।,हमरा भोजपुरी बोले में गर्व होला।,0.0,0.0,0.0,0.953,CORRECT
bhojpuri.txt,ऊ रोज अखबार पढ़ेला।,ऊ रोज अखबार पढ़ेला।,0.0,0.0,0.0,0.9677,CORRECT
bhojpuri.txt,सभे मिलके राष्ट्रगान गवलस।,सभे मिलके राष्ट्रगान गवलस।,0.0,0.0,0.0,0.9637,CORRECT
bhojpuri.txt,चिड़ियाघर में हाथी आ शेर देखाइल।,चिड़ियाघर में हाथी आ शेर देखाइल।,0.0,0.0,0.0,0.9702,CORRECT
bhojpuri.txt,दादी बच्चा लोग के कहानी सुनावेली।,दादी बच्चा लोग के कहानी सुनावेली।,0.0,0.0,0.0,0.9285,CORRECT
bhojpuri.txt,आज बजार में बहुत भीड़ रहल।,आज बजार में बहुत भीड़ रहल।,0.0,0.0,0.0,0.9531,CORRECT
bhojpuri.txt,वैज्ञानिक नया खोज में लागल बाड़ें।,वैज्ञानिक नया खोज में लागल बाड़ें।,0.0,0.0,0.0,0.9946,CORRECT
bhojpuri.txt,अपना सेहत के ध्यान रखे के चाहीं।,अपना सेहत के ध्यान रखे के चाहीं।,0.0,0.0,0.0,0.9823,CORRECT
bhojpuri.txt,मंदिर लगे बरगद के पेड़ बा।,मंदिर लगे बरगद के पेड़ बा।,0.0,0.0,0.0,0.9958,CORRECT
bhojpuri.txt,विद्यार्थी कंप्यूटर सीखे में लागल बाड़ें।,विद्यार्थी कंप्यूटर सीखे में लागल बाड़ें।,0.0,0.0,0.0,0.9837,CORRECT
hindi.txt,मुझे आज विधालय जाने में देर हो गई।,मुझे आज विधालय जाने में देर हो गई।,0.0,0.0,0.0,0.8999,CORRECT
hindi.txt,राम प्रतिदिन सुबह जल्दी उठकर योगा करता है।,राम प्रतिदिन सुबह जल्दी उठकर योगा करता है।,0.0,0.0,0.0,0.9976,CORRECT
hindi.txt,भारत विविध संस्कृतियों और भषाओं वाला देश है।,भारत विविध संस्कृतियों और भषाओं वाला देश है।,0.0,0.0,0.0,0.9985,CORRECT
hindi.txt,बच्चो को हमेशा सच बोलना चाहीए।,बच्चो को हमेशा सच बोलना चाहीए।,0.0,0.0,0.0,0.9986,CORRECT
hindi.txt,मौसम आज बहुत सुहावना और ठन्डा है।,मौसम आज बहुत सुहावना और ठन्डा है।,0.0,0.0,0.0,0.9992,CORRECT
hindi.txt,किसान खेत में गेहु की फसल काट रहा है।,किसान खेत में गेहु की फसल काट रहा है।,0.0,0.0,0.0,0.9998,CORRECT
hindi.txt,हमे अपने माता-पिता का सम्मान करना चाहिये।,हमे अपने माता-पिता का सम्मान करना चाहिये।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,वह पुस्तकलाय में बैठकर इतिहास की पुस्तक पढ़ रही है।,वह पुस्तकलाय में बैठकर इतिहास की पुस्तक पढ़ रही है।,0.0,0.0,0.0,0.9163,CORRECT
hindi.txt,ट्रेन अपने निर्धारित समय से थोड़ी देर से पहुची।,ट्रेन अपने निर्धारित समय से थोड़ी देर से पहुची।,0.0,0.0,0.0,0.9991,CORRECT
hindi.txt,डॉक्टर ने मरीज को नियमित दवा लेने की सलह दी।,डॉक्टर ने मरीज को नियमित दवा लेने की सलह दी।,0.0,0.0,0.0,0.9993,CORRECT
hindi.txt,पेड़ो से हमें स्वच्छ हवा और छाया मिलती है।,पेड़ो से हमें स्वच्छ हवा और छाया मिलती है।,0.0,0.0,0.0,0.9991,CORRECT
hindi.txt,छात्र परीक्षा की तैय्यारी पूरी मेहनत से कर रहे हैं।,छात्र परीक्षा की तैय्यारी पूरी मेहनत से कर रहे हैं।,0.0,0.0,0.0,0.9948,CORRECT
hindi.txt,नदी का पानी बरसात के कारण बहुत बढ गया है।,नदी का पानी बरसात के कारण बहुत बढ गया है।,0.0,0.0,0.0,0.9997,CORRECT
hindi.txt,उसने अपने मित्र को जन्मदिन की शुभकामनाए दीं।,उसने अपने मित्र को जन्मदिन की शुभकामनाए दीं।,0.0,0.0,0.0,0.998,CORRECT
hindi.txt,गाँव के लोग मिलकर वार्षिक उत्सव मना रहे है।,गाँव के लोग मिलकर वार्षिक उत्सव मना रहे है।,0.0,0.0,0.0,0.9996,CORRECT
hindi.txt,मुझे गणित के कठिन प्रशन हल करना पसंद है।,मुझे गणित के कठिन प्रशन हल करना पसंद है।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,पक्षी सुबह होते ही मधुर आवाज में चहचहाने लगते हैं।,पक्षी सुबह होते ही मधुर आवाज में चहचहाने लगते हैं।,0.0,0.0,0.0,0.9994,CORRECT
hindi.txt,हमे समय का सदुपयोग करना चाहिये।,हमे समय का सदुपयोग करना चाहिये।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,सुरज पूर्व दिशा से निकलता है।,सुरज पूर्व दिशा से निकलता है।,0.0,0.0,0.0,0.9057,CORRECT
hindi.txt,शिक्षक ने विद्यार्थीयों को नया पाठ समझाया।,शिक्षक ने विद्यार्थीयों को नया पाठ समझाया।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,मुझे आम खाना बहुत पसन्द है।,मुझे आम खाना बहुत पसन्द है।,0.0,0.0,0.0,0.9995,CORRECT
hindi.txt,वह अपने दादा जी के साथ बजार गया था।,वह अपने दादा जी के साथ बजार गया था।,0.0,0.0,0.0,0.9001,CORRECT
hindi.txt,बारिश के कारण सडक पर पानी भर गया।,बारिश के कारण सडक पर पानी भर गया।,0.0,0.0,0.0,0.9996,CORRECT
hindi.txt,सभी बच्चों ने मिलकर विधालय को साफ किया।,सभी बच्चों ने मिलकर विधालय को साफ किया।,0.0,0.0,0.0,0.9995,CORRECT
hindi.txt,हमें पर्यावरन की रक्षा के लिए पेड़ लगाने चाहिए।,हमें पर्यावरन की रक्षा के लिए पेड़ लगाने चाहिए।,0.0,0.0,0.0,0.9984,CORRECT
hindi.txt,मेरी बहन प्रतिदिन संगीत का अभ्यास करती है।,मेरी बहन प्रतिदिन संगीत का अभ्यास करती है।,0.0,0.0,0.0,0.9998,CORRECT
hindi.txt,कल रात आकाश में बहुत सारे तारे दिखाई दे रहे थे।,कल रात आकाश में बहुत सारे तारे दिखाई दे रहे थे।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,पुलीस ने चोर को पकड़ लिया।,पुलीस ने चोर को पकड़ लिया।,0.0,0.0,0.0,0.9991,CORRECT
hindi.txt,पुस्तक पढ़ने से ज्ञान बढता है।,पुस्तक पढ़ने से ज्ञान बढता है।,0.0,0.0,0.0,0.9992,CORRECT
hindi.txt,वृद्ध व्यक्ति धीरे-धीरे सडक पार कर रहा था।,वृद्ध व्यक्ति धीरे-धीरे सडक पार कर रहा था।,0.0,0.0,0.0,0.9997,CORRECT
hindi.txt,मोहन ने अपने मित्र को एक सुंदर उपहार दिया।,मोहन ने अपने मित्र को एक सुंदर उपहार दिया।,0.0,0.0,0.0,0.9998,CORRECT
hindi.txt,हमें दुसरों की सहायता करने के लिए हमेशा तैयार रहना चाहिए।,हमें दुसरों की सहायता करने के लिए हमेशा तैयार रहना चाहिए।,0.0,0.0,0.0,0.9993,CORRECT
hindi.txt,विधालय में विज्ञान प्रदर्शनी का आयोजन किया गया।,विधालय में विज्ञान प्रदर्शनी का आयोजन किया गया।,0.0,0.0,0.0,1.0,CORRECT
hindi.txt,बच्चे मैदान में क्रिकेट खेल रहे थे।,बच्चे मैदान में क्रिकेट खेल रहे थे।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,वह परीक्षा में प्रथम स्थान प्राप्त करके बहुत खुश था।,वह परीक्षा में प्रथम स्थान प्राप्त करके बहुत खुश था।,0.0,0.0,0.0,0.9993,CORRECT
hindi.txt,माँ ने स्वादिस्ट भोजन बनाया।,माँ ने स्वादिस्ट भोजन बनाया।,0.0,0.0,0.0,0.9958,CORRECT
hindi.txt,यात्री बस का इंतजार कर रहे थे।,यात्री बस का इंतजार कर रहे थे।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,जंगल में कई प्रकार के जंगली जानवर रहते हैं।,जंगल में कई प्रकार के जंगली जानवर रहते हैं।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,हमें जल की बचत करनी चाहिये।,हमें जल की बचत करनी चाहिये।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,सैनिक देश की रक्षा के लिए सीमा पर तैनात हैं।,सैनिक देश की रक्षा के लिए सीमा पर तैनात हैं।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,मुझे हिंदी भाषा पढ़ना और लिखना अच्छा लगता है।,मुझे हिंदी भाषा पढ़ना और लिखना अच्छा लगता है।,0.0,0.0,0.0,0.9998,CORRECT
hindi.txt,वह प्रतिदिन समाचार पत्र पढ़ता है।,वह प्रतिदिन समाचार पत्र पढ़ता है।,0.0,0.0,0.0,0.9998,CORRECT
hindi.txt,सभी विद्यार्थियों ने राष्ट्रिय गान गाया।,सभी विद्यार्थियों ने राष्ट्रिय गान गाया।,0.0,0.0,0.0,0.9995,CORRECT
hindi.txt,चिड़ियाघर में बच्चों ने हाथी और शेर देखे।,चिड़ियाघर में बच्चों ने हाथी और शेर देखे।,0.0,0.0,0.0,0.9998,CORRECT
hindi.txt,दादी माँ बच्चों को रोचक कहानियाँ सुनाती हैं।,दादी माँ बच्चों को रोचक कहानियाँ सुनाती हैं।,0.0,0.0,0.0,0.9998,CORRECT
hindi.txt,आज बजार में बहुत भीड़ थी।,आज बजार में बहुत भीड़ थी।,0.0,0.0,0.0,0.9271,CORRECT
hindi.txt,वैज्ञानिक नई खोज करने में लगे हुए हैं।,वैज्ञानिक नई खोज करने में लगे हुए हैं।,0.0,0.0,0.0,0.9996,CORRECT
hindi.txt,हमें अपने स्वास्थ्य का ध्यान रखना चाहिए।,हमें अपने स्वास्थ्य का ध्यान रखना चाहिए।,0.0,0.0,0.0,0.9998,CORRECT
hindi.txt,मंदिर के पास एक बड़ा बरगद का पेड़ है।,मंदिर के पास एक बड़ा बरगद का पेड़ है।,0.0,0.0,0.0,0.9999,CORRECT
hindi.txt,विद्यार्थी कंप्यूटर प्रयोगशाला में नया प्रोग्राम सीख रहे हैं।,विद्यार्थी कंप्यूटर प्रयोगशाला में नया प्रोग्राम सीख रहे हैं।,0.0,0.0,0.0,0.9996,CORRECT
kannada.txt,ನಾನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗಲು ತಡವಾಯಿತು।,ನಾನು ಇಂದು ಶಾಲೆಗೆ ಹೋಗಲು ತಡವಾಯಿತು।,0.0,0.0,0.0,0.8716,CORRECT
kannada.txt,ರಾಮ ಪ್ರತಿದಿನ ಬೆಳಗ್ಗೆ ಬೇಗ ಎದ್ದು ಯೋಗ ಮಾಡುತ್ತಾನೆ।,ರಾಮ ಪ್ರತಿದಿನ ಬೆಳಗ್ಗೆ ಬೇಗ ಎದ್ದು ಯೋಗ ಮಾಡುತ್ತಾನೆ।,0.0,0.0,0.0,0.9905,CORRECT
kannada.txt,ಭಾರತವು ವಿವಿಧ ಭಾಷೆಗಳು ಮತ್ತು ಸಂಸ್ಕೃತಿಗಳ ದೇಶವಾಗಿದೆ।,ಭಾರತವು ವಿವಿಧ ಭಾಷೆಗಳು ಮತ್ತು ಸಂಸ್ಕೃತಿಗಳ ದೇಶವಾಗಿದೆ।,0.0,0.0,0.0,0.8748,CORRECT
kannada.txt,ಮಕ್ಕಳು ಯಾವಾಗಲೂ ಸತ್ಯವನ್ನು ಹೇಳಬೇಕು।,ಮಕ್ಕಳು ಯಾವಾಗಲೂ ಸತ್ಯವನ್ನು ಹೇಳಬೇಕು।,0.0,0.0,0.0,0.8318,CORRECT
kannada.txt,ಇಂದು ಹವಾಮಾನ ಬಹಳ ಚಳಿಯಾಗಿತ್ತು।,ಇಂದು ಹವಾಮಾನ ಬಹಳ ಚಳಿಯಾಗಿತ್ತು।,0.0,0.0,0.0,0.9088,CORRECT
kannada.txt,ರೈತನು ಹೊಲದಲ್ಲಿ ಗೋಧಿ ಕತ್ತರಿಸುತ್ತಿದ್ದಾನೆ।,ರೈತನು ಹೊಲದಲ್ಲಿ ಗೋಧಿ ಕತ್ತರಿಸುತ್ತಿದ್ದಾನೆ।,0.0,0.0,0.0,0.9072,CORRECT
kannada.txt,ನಾವು ನಮ್ಮ ತಂದೆತಾಯಿಯನ್ನು ಗೌರವಿಸಬೇಕು।,ನಾವು ನಮ್ಮ ತಂದೆತಾಯಿಯನ್ನು ಗೌರವಿಸಬೇಕು।,0.0,0.0,0.0,0.9499,CORRECT
kannada.txt,ಅವಳು ಪುಸ್ತಕಾಲಯದಲ್ಲಿ ಕುಳಿತು ಪುಸ್ತಕ ಓದುತ್ತಿದ್ದಾಳೆ।,ಅವಳು ಪುಸ್ತಕಾಲಯದಲ್ಲಿ ಕುಳಿತು ಪುಸ್ತಕ ಓದುತ್ತಿದ್ದಾಳೆ।,0.0,0.0,0.0,0.9489,CORRECT
kannada.txt,ರೈಲು ಇಂದು ತಡವಾಗಿ ಬಂದಿತು।,ರೈಲು ಇಂದು ತಡವಾಗಿ ಬಂದಿತು।,0.0,0.0,0.0,0.799,CORRECT
kannada.txt,ವೈದ್ಯರು ರೋಗಿಗೆ ಔಷಧಿಯನ್ನು ಸಮಯಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳಲು ಹೇಳಿದರು।,ವೈದ್ಯರು ರೋಗಿಗೆ ಔಷಧಿಯನ್ನು ಸಮಯಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳಲು ಹೇಳಿದರು।,0.0,0.0,0.0,0.8708,CORRECT
kannada.txt,ಮರಗಳು ನಮಗೆ ಶುದ್ಧ ಗಾಳಿ ನೀಡುತ್ತವೆ।,ಮರಗಳು ನಮಗೆ ಶುದ್ಧ ಗಾಳಿ ನೀಡುತ್ತವೆ।,0.0,0.0,0.0,0.9961,CORRECT
kannada.txt,ವಿದ್ಯಾರ್ಥಿಗಳು ಪರೀಕ್ಷೆಗೆ ಶ್ರಮಿಸುತ್ತಿದ್ದಾರೆ।,ವಿದ್ಯಾರ್ಥಿಗಳು ಪರೀಕ್ಷೆಗೆ ಶ್ರಮಿಸುತ್ತಿದ್ದಾರೆ।,0.0,0.0,0.0,0.9529,CORRECT
kannada.txt,ಮಳೆಯಿಂದ ನದಿಯ ನೀರು ಹೆಚ್ಚಾಗಿದೆ।,ಮಳೆಯಿಂದ ನದಿಯ ನೀರು ಹೆಚ್ಚಾಗಿದೆ।,0.0,0.0,0.0,0.8568,CORRECT
kannada.txt,ಅವನು ತನ್ನ ಸ್ನೇಹಿತನಿಗೆ ಹುಟ್ಟುಹಬ್ಬದ ಶುಭಾಶಯ ತಿಳಿಸಿದನು।,ಅವನು ತನ್ನ ಸ್ನೇಹಿತನಿಗೆ ಹುಟ್ಟುಹಬ್ಬದ ಶುಭಾಶಯ ತಿಳಿಸಿದನು।,0.0,0.0,0.0,0.9229,CORRECT
kannada.txt,ಗ್ರಾಮಸ್ಥರು ಒಟ್ಟಾಗಿ ಹಬ್ಬ ಆಚರಿಸುತ್ತಿದ್ದಾರೆ।,ಗ್ರಾಮಸ್ಥರು ಒಟ್ಟಾಗಿ ಹಬ್ಬ ಆಚರಿಸುತ್ತಿದ್ದಾರೆ।,0.0,0.0,0.0,0.9318,CORRECT
kannada.txt,ನನಗೆ ಗಣಿತದ ಪ್ರಶ್ನೆಗಳನ್ನು ಬಗೆಹರಿಸಲು ಇಷ್ಟ।,ನನಗೆ ಗಣಿತದ ಪ್ರಶ್ನೆಗಳನ್ನು ಬಗೆಹರಿಸಲು ಇಷ್ಟ।,0.0,0.0,0.0,0.8563,CORRECT
kannada.txt,ಪಕ್ಷಿಗಳು ಬೆಳಿಗ್ಗೆ ಸಿಹಿಯಾಗಿ ಕೂಗುತ್ತವೆ।,ಪಕ್ಷಿಗಳು ಬೆಳಿಗ್ಗೆ ಸಿಹಿಯಾಗಿ ಕೂಗುತ್ತವೆ।,0.0,0.0,0.0,0.9667,CORRECT
kannada.txt,ಸಮಯವನ್ನು ಸರಿಯಾಗಿ ಬಳಸಬೇಕು।,ಸಮಯವನ್ನು ಸರಿಯಾಗಿ ಬಳಸಬೇಕು।,0.0,0.0,0.0,0.9957,CORRECT
kannada.txt,ಸೂರ್ಯನು ಪೂರ್ವ ದಿಕ್ಕಿನಲ್ಲಿ ಉದಯಿಸುತ್ತಾನೆ।,ಸೂರ್ಯನು ಪೂರ್ವ ದಿಕ್ಕಿನಲ್ಲಿ ಉದಯಿಸುತ್ತಾನೆ।,0.0,0.0,0.0,0.8763,CORRECT
kannada.txt,ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಹೊಸ ಪಾಠ ಹೇಳಿದರು।,ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಹೊಸ ಪಾಠ ಹೇಳಿದರು।,0.0,0.0,0.0,0.9514,CORRECT
kannada.txt,ನನಗೆ ಮಾವಿನ ಹಣ್ಣು ತುಂಬ ಇಷ್ಟ।,ನನಗೆ ಮಾವಿನ ಹಣ್ಣು ತುಂಬ ಇಷ್ಟ।,0.0,0.0,0.0,0.8397,CORRECT
kannada.txt,ಅವನು ತನ್ನ ತಾತನ ಜೊತೆ ಮಾರುಕಟ್ಟೆಗೆ ಹೋದನು।,ಅವನು ತನ್ನ ತಾತನ ಜೊತೆ ಮಾರುಕಟ್ಟೆಗೆ ಹೋದನು।,0.0,0.0,0.0,0.8911,CORRECT
kannada.txt,ಮಳೆಯಿಂದ ರಸ್ತೆಯಲ್ಲಿ ನೀರು ತುಂಬಿತ್ತು।,ಮಳೆಯಿಂದ ರಸ್ತೆಯಲ್ಲಿ ನೀರು ತುಂಬಿತ್ತು।,0.0,0.0,0.0,0.9779,CORRECT
kannada.txt,ಮಕ್ಕಳು ಶಾಲೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿದರು।,ಮಕ್ಕಳು ಶಾಲೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿದರು।,0.0,0.0,0.0,0.9906,CORRECT
kannada.txt,ಪರಿಸರ ರಕ್ಷಿಸಲು ಮರಗಳನ್ನು ನೆಡಬೇಕು।,ಪರಿಸರ ರಕ್ಷಿಸಲು ಮರಗಳನ್ನು ನೆಡಬೇಕು।,0.0,0.0,0.0,0.9381,CORRECT
kannada.txt,ನನ್ನ ಸಹೋದರಿ ಪ್ರತಿದಿನ ಸಂಗೀತ ಅಭ್ಯಾಸ ಮಾಡುತ್ತಾಳೆ।,ನನ್ನ ಸಹೋದರಿ ಪ್ರತಿದಿನ ಸಂಗೀತ ಅಭ್ಯಾಸ ಮಾಡುತ್ತಾಳೆ।,0.0,0.0,0.0,0.8751,CORRECT
kannada.txt,ನಿನ್ನೆ ರಾತ್ರಿ ಆಕಾಶದಲ್ಲಿ ಅನೇಕ ನಕ್ಷತ್ರಗಳು ಕಾಣುತ್ತಿದ್ದವು।,ನಿನ್ನೆ ರಾತ್ರಿ ಆಕಾಶದಲ್ಲಿ ಅನೇಕ ನಕ್ಷತ್ರಗಳು ಕಾಣುತ್ತಿದ್ದವು।,0.0,0.0,0.0,0.9566,CORRECT
kannada.txt,ಪೋಲಿಸರು ಕಳ್ಳನನ್ನು ಬಂಧಿಸಿದರು।,ಪೋಲಿಸರು ಕಳ್ಳನನ್ನು ಬಂಧಿಸಿದರು।,0.0,0.0,0.0,0.889,CORRECT
kannada.txt,ಪುಸ್ತಕ ಓದುವುದರಿಂದ ಜ್ಞಾನ ಹೆಚ್ಚುತ್ತದೆ।,ಪುಸ್ತಕ ಓದುವುದರಿಂದ ಜ್ಞಾನ ಹೆಚ್ಚುತ್ತದೆ।,0.0,0.0,0.0,0.8529,CORRECT
kannada.txt,ವೃದ್ಧನು ನಿಧಾನವಾಗಿ ರಸ್ತೆ ದಾಟುತ್ತಿದ್ದನು।,ವೃದ್ಧನು ನಿಧಾನವಾಗಿ ರಸ್ತೆ ದಾಟುತ್ತಿದ್ದನು।,0.0,0.0,0.0,0.9765,CORRECT
kannada.txt,ಮೋಹನ್ ತನ್ನ ಸ್ನೇಹಿತನಿಗೆ ಉಡುಗೊರೆ ಕೊಟ್ಟನು।,ಮೋಹನ್ ತನ್ನ ಸ್ನೇಹಿತನಿಗೆ ಉಡುಗೊರೆ ಕೊಟ್ಟನು।,0.0,0.0,0.0,0.9062,CORRECT
kannada.txt,ನಾವು ಇತರರಿಗೆ ಸಹಾಯ ಮಾಡಬೇಕು।,ನಾವು ಇತರರಿಗೆ ಸಹಾಯ ಮಾಡಬೇಕು।,0.0,0.0,0.0,0.9599,CORRECT
kannada.txt,ಶಾಲೆಯಲ್ಲಿ ವಿಜ್ಞಾನ ಪ್ರದರ್ಶನ ನಡೆಯಿತು।,ಶಾಲೆಯಲ್ಲಿ ವಿಜ್ಞಾನ ಪ್ರದರ್ಶನ ನಡೆಯಿತು।,0.0,0.0,0.0,0.7996,CORRECT
